|Latin Name|Greek name|English Name
|ANSERIFORMES||
|Anatidae||
1|Cygnus olor                       |(Βουβός) Κύκνος                 |Mute Swan
2|Cygnus columbianus                |Νανόκυκνος                  |Tundra Swan
3|Cygnus cygnus                     |Αγριόκυκνος                 |Whooper Swan
4|Anser fabalis                     |Χωραφόχηνα                  |Bean Goose
5|Anser albifrons                   |Ασπρομέτωπη Χήνα            |Greater White-fronted Goose
6|Anser erythropus                  |Νανόχηνα                    |Lesser White-fronted Goose
7|Anser anser                       |Σταχτόχηνα                  |Greylag Goose
8|Anser caerulescens|Λευκόχηνα|Snow Goose
9|Branta bernicla                   |Δαχτυλιδόχηνα               |Brent Goose
10|Branta ruficollis                 |Κοκκινόχηνα                 |Red-breasted Goose
11|Tadorna ferruginea                |Καστανόπαπια                |Ruddy Shelduck
12|Tadorna tadorna                   |Βαρβάρα                  |Common Shelduck
13|Anas penelope                     |(Ευρωπαϊκό) Σφυριχτάρι                  |Eurasian Wigeon
14|Anas strepera                     |Καπακλής                    |Gadwall
15|Anas crecca                       |(Ευρωπαϊκό) Κιρκίρι                     |Common Teal
16|Anas platyrhynchos                |Πρασινοκέφαλη Πάπια         |Mallard
17|Anas acuta                        |Ψαλίδα (του Βορά)                 |Northern Pintail
18|Anas querquedula                  |(Ευρωπαϊκή) Σαρσέλα                     |Garganey
19|Anas discors                      |Αμερικάνικη Σαρσέλα         |Blue-winged Teal
20|Anas clypeata                     |(Ευρασιατική) Χουλιαρόπαπια               |Northern Shoveler
21|Marmaronetta angustirostris       |Στικτόπαπια                 |Marbled Duck
22|Netta rufina                      |(Ευρασιατικό) Φερεντίνι                   |Red-crested Pochard
23|Aythya ferina                     |Γκισάρι                     |Common Pochard
24|Aythya nyroca                     |(Ευρωπαϊκη) Βαλτόπαπια                  |Ferruginous Duck
25|Aythya fuligula                   |Μαυροκέφαλη Πάπια           |Tufted Duck
26|Aythya marila                     |Σταχτόπαπια                 |Greater Scaup
27|Somateria mollissima              |(Κοινή) Πουπουλόπαπια               |Common Eider
28|Clangula hyemalis                 |Χιονόπαπια                  |Long-tailed Duck
29|Melanitta nigra                   |(Ευρωπαϊκή) Μαυρόπαπια                  |Common Scoter
30|Melanitta fusca                   |Βελουδόπαπια                |Velvet Scoter
31|Bucephala clangula                |(Ευρωπαϊκή) Βουκεφάλα              |Common Goldeneye
32|Mergus albellus                |Νανοπρίστης                 |Smew
33|Mergus serrator                   |Θαλασσοπρίστης               |Red-breasted Merganser
34|Mergus merganser                  |Χηνοπρίστης                 |Goosander
35|Oxyura leucocephala               |(Ευρωπαϊκό) Κεφαλούδι                   |White-headed Duck
|GALLIFORMES||
|Tetraonidae||
36|Bonasa bonasia                    |Δασόκοτα                  |Hazel Grouse
37|Tetrao tetrix                     |Λυροπετεινός               |Black Grouse
38|Tetrao urogallus                  |Αγριόκουρκος                |Western Capercaillie
|Phasianidae||
39|Alectoris chukar                  |Νησιώτικη Πέρδικα                |Chukar 
40|Alectoris graeca                  |Πετροπέρδικα               |Rock Partridge
41|Alectoris rufa                    |Κοκκινοπέρδικα             |Red-legged Partridge
42|Francolinus francolinus           |(Μαύρος) Φρανκολίνος                |Black Francolin
43|Perdix perdix                     |Καμπίσια Πέρδικα           |Grey Partridge
44|Coturnix coturnix                 |(Κοινό) Ορτύκι                      |Common Quail
45|Phasianus colchicus               |(Κοινός) Φασιανός                    |Common Pheasant
|GAVIIFORMES||
|Gaviidae||
46|Gavia stellata                   |Κηλιδοβούτι                |Red-throated Diver
47|Gavia arctica                     |Λαμπροβούτι                 |Black-throated Diver
48|Gavia immer                       |Παγοβούτι                  |Great Northern Diver
|PODICIPEDIFORMES||
|Podicipedidae||
49|Τachybaptus ruficollis            |(Κοκκινόλαιμο) Νανοβουτηχτάρι              |Little Grebe
50|Podiceps cristatus                |Σκουφοβουτηχτάρι          |Great Crested Grebe
51|Podiceps grisegena                |Κοκκινοβουτηχτάρι           |Red-necked Grebe
52|Podiceps auritus                  |Χειμωνοβουτηχτάρι           |Horned Grebe
53|Podiceps nigricollis              |Μαυροβουτηχτάρι            |Black-necked Grebe
|PROCELLARIIFORMES||
|Procellariidae||
54|Calonectris diomedea              |Αρτέμης                     |Cory's Shearwater
55|Puffinus gravis|Καπελόμυχος|Great Shearwater
56|Puffinus mauretanicus|Μύχος των Βαλεαρίδων|Balearic Shearwater
57|Puffinus yelkouan                 |Μύχος (της Μεσογείου)                     |Yelkouan Shearwater
|Hydrobatidae||
58|Hydrobates pelagicus                       |Υδροβάτης|European Storm-Petrel
|PELECANIFORMES||
|Sulidae||
59|Morus bassanus                    |Σούλα (του Βορά)                       |Northern Gannet
|Phalacrocoracidae||
60|Phalacrocorax carbo               |(Ευρωπαϊκός) Κορμοράνος                 |Great Cormorant
61|Phalacrocorax aristotelis         |(Ευρωπαϊκός) Θαλασσοκόρακας             |European Shag
62|Phalacrocorax pygmeus             |Λαγγόνα                   |Pygmy Cormorant
|Pelecanidae||
63|Pelecanus onocrotalus             |Ροδοπελεκάνος             |Great White Pelican
64|Pelecanus crispus                 |Αργυροπελεκάνος             |Dalmatian Pelican
|CICONIIFORMES||
|Ardeidae||
65|Botaurus stellaris                |(Ευρασιατικός) Ήταυρος                    |Great Bittern
66|Ixobrychus minutus                |(Ευρωπαϊκός) Μικροτσικνιάς              |Little Bittern
67|Nycticorax nycticorax             |(Κοινός) Νυχτοκόρακας              |Black-crowned Night Heron
68|Ardeola ralloides                 |(Ξανθός) Κρυπτοτσικνιάς              |Squacco Heron
69|Bubulcus ibis                     |Γελαδάρης                  |Cattle Egret
70|Egretta gularis                   |Θαλασσοτσικνιάς              |Western Reef Egret
71|Egretta garzetta                  |(Κοινός) Λευκοτσικνιάς               |Little Egret
72|Ardea alba                      |Αργυροτσικνιάς            |Great Egret
73|Ardea cinerea                     |Σταχτοτσικνιάς              |Grey Heron
74|Ardea purpurea                    |Πορφυροτσικνιάς             |Purple Heron
|Ciconiidae||
75|Ciconia nigra                     |Μαύρος Πελαργός               |Black Stork
76|Ciconia ciconia                   |Λευκός Πελαργός               |White Stork
|Threskiornithidae||
77|Plegadis falcinellus              |(Ευρασιατική) Χαλκόκοτα                   |Glossy Ibis
78|Platalea leucorodia               |(Ευρασιατική) Χουλιαρομύτα               |Eurasian Spoonbill
|PHOENICOPTERIFORMES||
|Phoenicopteridae||
79|Phoenicopterus roseus              |(Ευρωπαϊκό) Φοινικόπτερο                |Greater Flamingo
|ACCIPITRIFORMES||
|Accipitridae||
80|Pernis apivorus                   |(Ευρωπαϊκός) Σφηκιάρης                   |European Honey Buzzard
81|Elanus caeruleus                  |Έλανος                      |Black-shouldered Kite
82|Milvus migrans                    |Τσίφτης                     |Black Kite
83|Milvus milvus                     |Ψαλιδιάρης                  |Red Kite
84|Haliaeetus albicilla              |(Ευρωπαϊκός) Θαλασσαετός                 |White-tailed Eagle
85|Gypaetus barbatus                 |Γυπαετός                    |Lammergeier
86|Neophron percnopterus             |Ασπροπάρης                  |Egyptian Vulture
87|Gyps fulvus                       |Όρνιο                       |Eurasian Griffon Vulture
88|Aegypius monachus                 |Μαυρόγυπας                  |Eurasian Black Vulture
89|Circaetus gallicus                            |Φιδαετός                    |Short-toed Eagle
90|Circus aeruginosus                |Καλαμόκιρκος               |Western Marsh Harrier
91|Circus cyaneus                    |Χειμωνόκιρκος                 |Hen Harrier
92|Circus macrourus                  |Στεπόκιρκος                 |Pallid Harrier
93|Circus pygargus                   |Λιβαδόκιρκος                |Montagu's Harrier
94|Accipiter gentilis                |Διπλοσάϊνο                 |Northern Goshawk
95|Accipiter nisus                   |(Κοινό) Ξεφτέρι                     |Eurasian Sparrowhawk
96|Accipiter brevipes                |(Κοινό) Σαΐνι |Levant Sparrowhawk
97|Buteo buteo                       |(Κοινή) Γερακίνα                    |Common Buzzard
98|Buteo rufinus                     |Αετογερακίνα                |Long-legged Buzzard
99|Buteo lagopus                     |Χιονογερακίνα               |Rough-legged Buzzard
100|Aquila pomarina                   |Κραυγαετός                  |Lesser Spotted Eagle
101|Aquila clanga                     |Στικταετός                  |Greater Spotted Eagle
102|Aquila nipalensis                 |Στεπαετός                   |Steppe Eagle
103|Aquila heliaca                    |(Ανατολικός) Βασιλαετός                  |Imperial Eagle
104|Aquila chrysaetos                           |Χρυσαετός                   |Golden Eagle
105|Hieraaetus pennatus               |Γερακαετός                  |Booted Eagle
106|Hieraaetus fasciatus              |Σπιζαετός                   |Bonelli's Eagle
|Pandionidae||
107|Pandion haliaetus                 |Ψαραετός                    |Osprey
|FALCONIFORMES||
|Falconidae||
108|Falco naumanni                    |(Ευρωπαϊκό) Κιρκινέζι                   |Lesser Kestrel
109|Falco tinnunculus                 |Βραχοκιρκίνεζο              |Common Kestrel
110|Falco vespertinus                 |(Ευρωπαϊκό) Μαυροκιρκίνεζο              |Red-footed Falcon
111|Falco columbarius                 |Νανογέρακο                  |Merlin
112|Falco subbuteo                    |Δεντρογέρακο                |Eurasian Hobby
113|Falco eleonorae                   |Μαυροπετρίτης               |Eleonora's Falcon
114|Falco biarmicus                   |Χρυσογέρακο                 |Lanner 
115|Falco cherrug                     |Στεπογέρακο                 |Saker 
116|Falco peregrinus                  |Πετρίτης             |Peregrine 
117|Falco pelegrinoides               |Ερημοπετρίτης              |Barbary Falcon
|GRUIFORMES||
|Rallidae||
118|Rallus aquaticus                  |(Ευρωπαϊκή) Νεροκοτσέλα                |Water Rail
119|Porzana porzana                   |Στικτοπουλάδα             |Spotted Crake
120|Porzana parva                     |Μικροπουλάδα                |Little Crake
121|Porzana pusilla                   |Νανοπουλάδα               |Baillon's Crake
122|Crex crex                         |Ορτυκομάνα                  |Corn Crake
123|Gallinula chloropus               |(Κοινή) Νερόκοτα                   |Common Moorhen
124|Porphyrio alleni|Αφρικανική Νερόκοτα        |Allen's Gallinule
125|Porphyrio porphyrio               |Σουλτανοπουλάδα             |Purple Swamp-Hen
126|Fulica atra                       |(Κοινή) Φαλαρίδα                   |Eurasian Coot
|Gruidae||
127|Grus grus                         |(Ευρωπαϊκός) Γερανός                     |Common Crane
128|Grus virgo                |Νυφογερανός                 |Demoiselle Crane
|Otididae||
129|Tetrax tetrax                     |Χαμωτίδα                  |Little Bustard
130|Chlamydotis undulata              |Χλαμυδωτίδα               |Houbara Bustard
131|Otis tarda                        |Μεγάλη Ωτίδα                 |Great Bustard
|CHARADRIIFORMES||
|Haematopodidae||
132|Haematopus ostralegus             |(Ευρωπαϊκός) Στρειδοφάγος               |Eurasian Oystercatcher
|Recurvirostridae||
133|Himantopus himantopus             |Καλαμοκανάς                 |Black-winged Stilt
134|Recurvirostra avosetta            |(Ευρωπαϊκή) Αβοκέτα                     |Pied Avocet
|Burhinidae||
135|Burhinus oedicnemus               |(Ευρωπαϊκή) Πετροτουρλίδα               |Stone-Curlew
|Glareolidae||
136|Cursorius cursor                  |Αμμοδρόμος                 |Cream-coloured Courser
137|Glareola pratincola               |(Κοινό) Νεροχελίδονο                |Collared Pratincole
138|Glareola nordmanni                |Μαυρόφτερο Νεροχελίδονο    |Black-winged Pratincole
|Charadriidae||
139|Charadrius dubius                 |Ποταμοσφυριχτής            |Little Ringed Plover
140|Charadrius hiaticula              |Αμμοσφυριχτής              |Common Ringed Plover
141|Charadrius pecuarius|Μικροσφυριχτής|Kittlitz's Plover
142|Charadrius alexandrinus           |Θαλασσοσφυριχτής           |Kentish Plover
143|Charadrius leschenaultii          |(Μεγάλος) Ερημοσφυριχτής             |Greater Sand Plover
144|Charadrius asiaticus              |Στεποσφυριχτής            |Caspian Plover
145|Charadrius morinellus             |Βουνοσφυριχτής              |Eurasian Dotterel
146|Pluvialis fulva                   |Βροχοπούλι του Ειρηνικού   |Pacific Golden Plover
147|Pluvialis apricaria                      |(Ευρωπαϊκό) Βροχοπούλι                  |European Golden Plover
148|Pluvialis squatarola              |Αργυροπούλι                |Grey Plover
149|Hoplopterus spinosus                 |Αγκαθοκαλημάνα             |Spur-winged Lapwing
150|Vanellus gregarius                |Αγελοκαλημάνα               |Sociable Lapwing
151|Vanellus leucurus                                |Λεύκουρη Καλημάνα                  |White-tailed Lapwing
152|Vanellus vanellus                 |(Ευρωπαϊκή) Καλημάνα                    |Northern Lapwing
|Scolopacidae||
153|Calidris canutus                  |Κοκκινοσκαλίδρα              |Red Knot
154|Calidris alba                     |Λευκοσκαλίδρα               |Sanderling
155|Calidris minuta                   |(Κοινή) Νανοσκαλίδρα              |Little Stint
156|Calidris temminckii               |Σταχτιά Νανοσκαλίδρα             |Temminck's Stint
157|Calidris subminuta                |Σιβηρική Νανοσκαλίδρα     |Long-toed Stint
158|Calidris fuscicollis|Λευκόπυγη Σκαλίδρα         |White-rumped Sandpiper
159|Calidris bairdii                  |Λιβαδοσκαλίδρα         |Baird's Sandpiper
160|Calidris melanotos|Θωρακωτή Σκαλίδρα              |Pectoral Sandpiper
161|Calidris ferruginea               |Δρεπανοσκαλίδρα             |Curlew Sandpiper
162|Calidris maritima                 |Βραχοσκαλίδρα               |Purple Sandpiper
163|Calidris alpina                   |Λασποσκαλίδρα              |Dunlin
164|Limicola falcinellus              |Ραβδοσκαλίδρα         |Broad-billed Sandpiper
165|Philomachus pugnax                |Μαχητής               |Ruff
166|Lymnocryptes minimus              |Κουφομπεκάτσινο             |Jack Snipe
167|Gallinago gallinago               |(Κοινό) Μπεκατσίνι                 |Common Snipe
168|Gallinago media                   |Διπλομπεκάτσινο             |Great Snipe
169|Limnodromus scolopaceus           |Μεγάλος Λιμνόδρομος                 |Long-billed Dowitcher
170|Scolopax rusticola                |(Ευρασιατική) Μπεκάτσα                   |Eurasian Woodcock
171|Limosa limosa                     |(Ευρωπαϊκή) Λιμόζα                  |Black-tailed Godwit
172|Limosa lapponica                  |Θαλασσολιμόζα                  |Bar-tailed Godwit
173|Numenius phaeopus                 |Σιγλίγουρος                |Whimbrel
174|Numenius tenuirostris             |Λεπτομύτα                  |Slender-billed Curlew
175|Numenius arquata                  |(Ευρασιατική) Τουρλίδα                   |Eurasian Curlew
176|Bartramia longicauda|Μπαρτράμια                  |Upland Sandpiper
177|Tringa erythropus                 |Μαυρότρυγγας                |Spotted Redshank
178|Tringa totanus                    |Κοκκινοσκέλης              |Common Redshank
179|Tringa stagnatilis                |Βαλτότρυγγας                |Marsh Sandpiper
180|Tringa nebularia                  |Πρασινοσκέλης               |Common Greenshank
181|Tringa flavipes                   |Μικρός Κιτρινοσκέλης              |Lesser Yellowlegs
182|Tringa ochropus                   |Δασότρυγγας                 |Green Sandpiper
183|Tringa glareola                   |Λασπότρυγγας                |Wood Sandpiper
184|Xenus cinereus                    |Ρωσότρυγγας                 |Terek Sandpiper
185|Actitis hypoleucos                |Ακτίτης               |Common Sandpiper
186|Actitis macularius                 |Κηλιδωτός Ακτίτης  |Spotted Sandpiper
187|Arenaria interpres                |Χαλικοκυλιστής             |Ruddy Turnstone
188|Pharalopus tricolor|Τρίχρωμος Φαλαρόποδας|Wilson's Phalarope
189|Phalaropus lobatus                |Ερυθρόλαιμος Φαλαρόποδας              |Red-necked Phalarope
190|Phalaropus fulicarius             |Κόκκινος Φαλαρόποδας      |Red Phalarope
|Stercorariidae||
191|Stercorarius pomarinus            |Γαλαζόραμφος Ληστόγλαρος                |Pomarine Skua
192|Stercorarius parasiticus          |Γερακοληστόγλαρος                |Arctic Skua
193|Stercorarius longicaudus|Βελονοληστόγλαρος                    |Long-tailed Skua
194|Stercorarius skua                 |Αετοληστόγλαρος            |Great Skua
|Laridae||
195|Larus leucophthalmus              |Λευκόφθαλμος Γλάρος         |White-eyed Gull
196|Larus ichthyaetus                 |Αετόγλαρος                  |Pallas's Gull
197|Larus melanocephalus              |Μαυροκέφαλος Γλάρος         |Mediterranean Gull
198|Larus atricilla                   |Αζτεκόγλαρος                |Laughing Gull
199|Larus minutus                     |Νανόγλαρος                 |Little Gull
200|Larus ridibundus                  |Καστανοκέφαλος Γλάρος       |Black-headed Gull
201|Larus genei                       |Λεπτόραμφος Γλάρος          |Slender-billed Gull
202|Larus audouinii                   |Αιγαιόγλαρος                |Audouin's Gull
203|Larus canus                       |Θυελλόγλαρος                |Mew Gull
204|Larus fuscus                      |Μελανόγλαρος                |Lesser Black-backed Gull
205|Larus argentatus                  |Ασημόγλαρος του Βορά                |Herring Gull
206|Larus michahellis|Ασημόγλαρος της Μεσογείου   |Yellow-legged Gull
207|Larus cachinnans                  |Ασημόγλαρος της Κασπίας   |Caspian Gull
208|Larus armenicus|Ασημόγλαρος της Αρμενίας           |Armenian Gull
209|Larus glaucoides                  |Παγόγλαρος          |Iceland Gull
210|Larus marinus                     |Γιγαντόγλαρος               |Greater Black-backed Gull
211|Rissa tridactyla                  |Τριδάκτυλος Γλάρος         |Black-legged Kittiwake
|Sternidae||
212|Sterna nilotica                   |Γελογλάρονο                |Gull-billed Tern
213|Sterna caspia                     |Καρατζάς                    |Caspian Tern
214|Sterna bengalensis                |Πορτοκαλόραμφο Γλαρόνι               |Lesser Crested Tern
215|Sterna sandvicensis               |Χειμωνογλάρονο              |Sandwich Tern
216|Sterna hirundo                    |Ποταμογλάρονο               |Common Tern
217|Sterna paradisaea                 |Χιονογλάρονο                |Arctic Tern
218|Sterna anaethetus                 |Σταχτογλάρονο               |Bridled Tern
219|Sterna albifrons                  |(Ευρωπαϊκό) Νανογλάρονο                 |Little Tern
220|Chlidonias hybrida             |Μουστακογλάρονο            |Whiskered Tern
221|Chlidonias niger                  |Μαυρογλάρονο               |Black Tern
222|Chlidonias leucopterus            |Αργυρογλάρονο               |White-winged Tern
|PTEROCLIDIFORMES||
|Pteroclidae||
223|Pterocles orientalis|Μαυροπεριστερόκοτα         |Black-bellied Sandgrouse
224|Pterocles alchata                 |Βελονόουρη Περιστερόκοτα               |Pin-tailed Sandgrouse
225|Syrrhaptes paradoxus              |Περιστερόκοτα της Στέπας    |Pallas's Sandgrouse
|COLUMBIFORMES||
|Columbidae||
226|Columba livia                     |Αγριοπερίστερο              |Rock Pigeon
227|Columba oenas                     |Φασσοπερίστερο              |Stock Pigeon
228|Columba palumbus                  |(Κοινή) Φάσσα                       |Common Woodpigeon
229|Streptopelia decaocto             |(Ευρασιατική) Δεκαοχτούρα                 |Eurasian Collared Dove
230|Streptopelia turtur               |(Ευρωπαϊκό) Τρυγόνι                     |European Turtle Dove
